stock1,stock2,correlation,adf_p_value,total_return,sharpe_ratio,max_drawdown,test_sharpe
GS,WFC,0.8511532022397784,0.0006849312983601691,-0.37527190133007104,0.8343503289743298,-0.9938824831447625,1.4322833387089402
KEY,ZION,0.9710233186673235,0.049860818554352544,0.4744763984099438,0.830045665241636,-0.14936537391894578,0.07412938898016894
AIG,ALL,0.8560507652358058,0.04946734505509479,0.5330537677274816,0.8073410781643895,-0.16968613384226428,0.31574431275258913
HBAN,IVZ,0.8699561252533106,0.02177224223769938,0.43872338390341636,0.8009066299767709,-0.12444511338582265,0.8713750278904508
IVZ,USB,0.8735554870433203,0.023048192457928624,0.45610584155734335,0.7983337000025661,-0.15208374886338993,0.09925665854875566
GS,VCTR,0.9345658821851267,0.00210619997915692,0.8088887932985813,0.7832144488431091,-0.9170653994523494,0.4134609341240096
MET,RJF,0.9681532951186529,0.0018810581941423419,0.45499238793926833,0.7814420635854836,-0.17064998573465218,1.232835303853111
CB,HIG,0.9563584584541319,0.010318862835124187,0.5473970937657007,0.7749337666499315,-0.12182276117359758,0.5175606584307033
HIG,RJF,0.9517152669683867,0.001086710141206833,0.7085500759953349,0.773009582392913,-0.17863572725681032,1.8098207241772997
AIG,RJF,0.9466055728695321,0.002462000881646443,0.47235064435473473,0.7699661408217939,-0.12704141127524415,0.6038073073207834
BLK,ICE,0.8640617979177662,0.034072395142874336,2.413843524811573,0.7674206074634209,-0.6529490870817796,0.8676102124557648
BEN,WFC,0.8163190281256217,0.00493123535163402,0.5274718396545321,0.7585772972095916,-0.24674950303205512,0.910342759146665
C,USB,0.8247465919980559,0.01585894947899378,0.24910164082524733,0.7470574224487153,-0.0788371932951012,0.9404072220596306
COF,IVZ,0.9296945313830122,0.01460621222578154,2.277011381118806,0.7448352423323996,-0.7418213764506938,0.9236932590113891
VCTR,WFC,0.83410890088418,0.0018801172545888718,0.4211458461725739,0.7322989097909192,-0.22615918046040562,0.5935895999126866
AMG,HBAN,0.8254249742003963,0.01850001550106714,-0.8874048696321859,0.7302523638637478,-0.9984562558736317,0.2826587920777242
BK,STT,0.9463721398463907,0.020005047423707015,0.14232319008821026,0.717691886769618,-0.0946657542228524,0.26824673741966504
FHN,MTB,0.866773086189992,0.012186366891162299,0.6325124643653177,0.69873833089672,-0.1447248476584907,1.132148281873451
LNC,TFC,0.9332401049690116,0.03938326254910145,0.6406485967452484,0.6929263520017642,-0.21945366306947112,0.9181855598038186
AXP,HIG,0.9182366571661889,0.006826429455671915,0.46484778236260027,0.6862719513091873,-0.14881279683431015,0.44942349903358847
HBAN,MS,0.8058100116985323,0.036800751131894405,0.3909723903623159,0.676548212189291,-0.18985035389647775,0.27758818069690827
GL,WRB,0.8560337981160094,0.04190081182981997,0.33504289796557707,0.6669506509438569,-0.13572103832690552,0.6942453697346281
AFL,GL,0.9163677701095508,0.007870740916968978,0.17045742503127204,0.655514935992758,-0.1137565890441643,0.7528931510119435
AMG,RF,0.89023561917526,0.02775706550656188,0.9017768310354826,0.6545704128705194,-0.844423488906995,0.8622479374020938
MET,WFC,0.8515658422615188,0.014502302918244772,0.3148443843261868,0.6421124637401436,-0.12639623104249154,-0.05215579567269207
FITB,PNC,0.9777619723835376,0.003635049968604425,0.36666945645203275,0.6139085396971741,-0.18576595497712634,1.5578871618718362
AIG,BRK-B,0.9336007235518631,0.02428739810437225,0.3983109056264271,0.599531546034674,-0.1412683623729829,0.6307695934250738
ALL,MET,0.8857907962795374,0.00992799832713895,0.20489931159976016,0.5926170876372715,-0.07132515061708089,0.6124974885149287
AIG,TRV,0.9400618248799728,0.01722703017838905,0.24610025803544255,0.585330269616121,-0.08007819715030162,0.4244323228049111
EG,GL,0.8901311545475578,0.024410271380098974,0.914484489426727,0.5720622041750091,-0.40659212710559434,0.23341594074316924
EG,UNM,0.9293530175376727,0.04291717197817405,0.852971178847884,0.5243210088741423,-0.731553013415192,0.4245416532879731
MS,PRU,0.9122590192000378,0.014990657266222375,0.16744244384120344,0.5232141025360487,-0.09686522724368862,0.2763283146189217
AXP,BK,0.8609672149712119,0.02752806716545541,0.6780026675905777,0.5192712611352279,-0.5351777136748324,0.00180737015361874
CINF,PRU,0.9012520040853936,0.04427880856699493,0.28335483836169706,0.5176756168958666,-0.24458150511624788,1.3958534503539126
ICE,OMF,0.8266851741441164,0.009791858410164129,0.41094829721493875,0.5134532989303021,-0.1893075551427349,1.0130361852732743
AXP,VCTR,0.9212604965867954,0.0011866052994657956,0.6379849428313344,0.4933223297633234,-0.7717709033991662,-0.08298278369279427
AMG,OMF,0.9038148101993618,0.0292110997834337,0.641963526471625,0.45815401651397414,-0.6401340083170541,0.6745153169727739
AXP,MS,0.9369170998946897,0.0060197680082989345,0.2501918499681881,0.45416402993571536,-0.29222791995054065,0.775741242229073
AXP,PRU,0.9397229959532367,0.013264302468034355,0.23476316986335477,0.4511676878348199,-0.3009744157848858,0.5550557124048274
PNC,SYF,0.9141809278977452,0.0450251161442978,0.408904199929506,0.4197081637155881,-0.413846533711568,0.34532891402652083
COF,SYF,0.9684819163451979,0.02640682757580352,0.2517581498855068,0.3452805906930377,-0.6549960320142372,-0.010222978208810794
PRU,VCTR,0.8728887564155511,0.03318748780776092,0.23136242188405132,0.3269544604192116,-0.36568070401652786,0.14997872432807538
ALLY,IVZ,0.9312329131096257,0.04492690057634535,0.1597159834347568,0.28346561730696473,-0.41484035895910565,-0.07902524605756783
CINF,MS,0.8315434322174989,0.026772911565459297,0.11218957181965594,0.2807455890237136,-0.1607703385105459,0.44721754325775764
CINF,WFC,0.8727626969160752,0.01062410888209246,0.11740126568669074,0.23576521567725758,-0.37835969453764395,-0.23639364350785672
MTB,SCHW,0.8302401126058013,0.027715183840031635,0.09585486679338806,0.22826015923123075,-0.19739332955810418,0.47725480382301433
BAC,SCHW,0.8972282502025021,0.03492683911633294,0.05356847379578733,0.20926948048977365,-0.10493348019582183,-0.21893943961301437
GL,UNM,0.8873998914878181,0.0036907388540817288,0.05364288451378929,0.1655096547348597,-0.42318467985848274,2.047519527302778
AIG,AXP,0.9083873411933072,0.03780102333140561,0.03641369280054896,0.1523544483640962,-0.10348266115491256,-0.16706841451133192
AXP,OMF,0.8930681024188786,0.04898753849655453,-0.18992447768822895,0.10246490084206375,-0.5827136448404953,0.3843250636373272
RF,WFC,0.864059029289823,0.022745579802950854,-0.17435513592882546,-0.1440124734422842,-0.437644803148459,0.8932674482214064
CINF,RF,0.8399398082669863,0.04342243720654433,-0.8551728768549046,-0.3893228118813789,-0.8886275244075701,-0.13179173780372644
AFL,EG,0.9492578548695796,0.04918904511344096,-0.37341896220769943,-0.6056730135444308,-0.46245285196955466,-0.25995812283237335
